user_id,recommendations
1,"[874972, 1081177, 8293439, 1082185, 995242]"
2,"[1134678, 1082185, 903325, 1106523, 916122]"
3,"[874972, 913210, 965766, 1053690, 910032]"
4,"[1021324, 962229, 990797, 831063, 951821]"
5,"[1065017, 1053530, 1082185, 1029743, 1127831]"
6,"[850102, 1024306, 878996, 1029743, 1082185]"
7,"[9832469, 986912, 1058997, 1082185, 6034857]"
8,"[874972, 1029743, 1044078, 1082185, 981760]"
9,"[947858, 962229, 1082185, 1029743, 962568]"
10,"[874972, 1082185, 1029743, 1127831, 951590]"
11,"[874972, 1082185, 1029743, 1127831, 951590]"
12,"[874972, 1029743, 1127831, 1082185, 951590]"
13,"[1029688, 995242, 1024306, 1082185, 878996]"
14,"[947858, 995242, 1122358, 981760, 951590]"
15,"[874972, 1029743, 854852, 1082185, 845208]"
16,"[874972, 1082185, 12263788, 9835695, 1084551]"
17,"[948670, 1106523, 916122, 1082185, 1044078]"
18,"[1065017, 1082185, 981760, 995242, 1081177]"
19,"[826666, 1064574, 13213203, 5564931, 1000236]"
20,"[849202, 916122, 5592931, 1126899, 894360]"
21,"[874972, 981760, 6034857, 1029743, 1096036]"
22,"[874972, 866211, 962568, 1070820, 1082185]"
23,"[849202, 1070820, 1082185, 981760, 1075368]"
24,"[1038663, 986912, 1106523, 983584, 1101010]"
25,"[906844, 995242, 981760, 1082185, 866211]"
26,"[874972, 995242, 1122358, 821083, 1050851]"
27,"[1138423, 1082185, 987562, 1101589, 9245108]"
28,"[13416117, 951412, 6534030, 916122, 940947]"
29,"[1065538, 868764, 872137, 899624, 827180]"
30,"[12810389, 981760, 859075, 840361, 6534480]"
31,"[982469, 1070820, 1082185, 1057260, 903325]"
32,"[959737, 1058997, 1081177, 1082185, 878996]"
33,"[874972, 986912, 969866, 1106523, 871756]"
34,"[1000753, 1029743, 986912, 1044078, 1081177]"
35,"[874972, 986912, 1053690, 1126899, 908531]"
36,"[826666, 1058997, 986912, 962229, 1082185]"
37,"[874972, 1056212, 5569792, 1053690, 1135681]"
38,"[874972, 1082185, 1029743, 1127831, 1106523]"
39,"[1099089, 1044078, 981760, 1126899, 1082185]"
40,"[961889, 6034857, 908531, 1082185, 903325]"
41,"[874972, 6034857, 5569471, 1126899, 1082185]"
42,"[968072, 977374, 923746, 1082185, 981760]"
43,"[874972, 1106523, 908531, 1004906, 1106301]"
44,"[836445, 921836, 1015974, 1009187, 7025202]"
45,"[874972, 8090537, 1134522, 1082185, 1029743]"
46,"[850102, 1122358, 923746, 8090539, 987562]"
47,"[874972, 872137, 1098168, 1105488, 1007512]"
48,"[874972, 991747, 934639, 1003257, 9835509]"
49,"[874972, 1029743, 981760, 962229, 1082185]"
50,"[1029688, 1082185, 995242, 908531, 1023958]"
51,"[887474, 995242, 1110572, 962229, 1096036]"
52,"[904997, 878996, 1053690, 1082185, 1106523]"
53,"[906335, 1082185, 1006184, 6034857, 5569471]"
54,"[874972, 1082185, 1029743, 1127831, 951590]"
55,"[874972, 995242, 840361, 844165, 1042702]"
56,"[849202, 878996, 1082185, 1058997, 986912]"
57,"[874972, 962229, 986912, 1106523, 1082185]"
58,"[995151, 915493, 1000237, 970030, 6034857]"
59,"[12812261, 981760, 6034857, 923746, 921504]"
60,"[874972, 1082185, 1029743, 1127831, 1106523]"
61,"[874972, 1082185, 1029743, 1127831, 951590]"
62,"[874972, 1082185, 1029743, 1127831, 1106523]"
63,"[874972, 1062572, 1082185, 1029743, 1127831]"
64,"[874972, 1082185, 862349, 1044078, 1081177]"
65,"[1103808, 962229, 1082185, 1070820, 986912]"
66,"[874972, 1029743, 1053690, 899624, 1040371]"
67,"[1065538, 1106523, 1082185, 878996, 1081177]"
68,"[1013928, 1106523, 844179, 1082185, 981760]"
69,"[906335, 8090537, 859075, 1044078, 951590]"
70,"[874972, 1039156, 1082185, 1029743, 1127831]"
71,"[874972, 986912, 995242, 1044078, 1101010]"
72,"[874972, 1082185, 8090521, 1070820, 916122]"
73,"[829291, 1082185, 8090521, 1070820, 1132956]"
74,"[874972, 986912, 1082185, 1106523, 1044078]"
75,"[874972, 1082185, 1029743, 1127831, 1106523]"
76,"[874972, 901062, 909714, 887503, 1064945]"
77,"[866548, 1070820, 962229, 1082185, 903325]"
78,"[874972, 1138189, 923746, 1082185, 5591154]"
79,"[874972, 995242, 983584, 1082185, 878996]"
80,"[836445, 1029743, 1044078, 1082185, 986912]"
81,"[874972, 1082185, 878996, 1029743, 1096036]"
82,"[849202, 847573, 1084036, 1119761, 12810464]"
83,"[1069312, 981760, 962568, 906658, 899624]"
84,"[874972, 1029743, 1082185, 951590, 910032]"
85,"[874972, 1082185, 859075, 1026118, 997309]"
86,"[948670, 995242, 878996, 1082185, 981760]"
87,"[874972, 13417954, 13381584, 1079528, 1048257]"
88,"[968072, 6463709, 862070, 1011046, 842416]"
